id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-0000096,SIN-005826,Cédula beneficiario,1,1,2023-11-21,0,
DOC-0000097,SIN-005826,Póliza original,1,1,2023-11-20,0,
DOC-0000098,SIN-005911,Historia clínica,1,0,2024-01-15,0,
DOC-0000099,SIN-005911,Facturas médicas,0,1,2024-01-13,0,
DOC-0000100,SIN-005911,Informe médico,1,1,2024-01-15,0,
DOC-0000101,SIN-005911,Recetas prescritas,1,0,2024-01-15,0,
DOC-0000102,SIN-005911,Cédula del asegurado,1,1,2024-01-15,0,
DOC-0000103,SIN-005849,Historia clínica,1,0,2021-07-27,0,
DOC-0000104,SIN-005849,Facturas médicas,1,1,2021-07-22,1,
DOC-0000105,SIN-005849,Informe médico,1,1,2021-07-22,0,
DOC-0000106,SIN-005849,Recetas prescritas,1,1,2021-07-25,0,
DOC-0000107,SIN-005849,Cédula del asegurado,1,1,2021-07-23,0,
DOC-0000108,SIN-002460,Certificado de defunción,1,1,2024-09-23,0,
DOC-0000109,SIN-002460,Informe médico causa muerte,1,1,2024-09-20,0,
DOC-0000110,SIN-002460,Cédula beneficiario,1,1,2024-09-22,0,
DOC-0000111,SIN-002460,Póliza original,1,1,2024-09-23,0,
DOC-0000112,SIN-010097,Parte policial,1,0,2022-02-08,0,
DOC-0000113,SIN-010097,Fotografías del daño,1,1,2022-02-05,0,
DOC-0000114,SIN-010097,Proforma de reparación,1,1,2022-02-06,0,
DOC-0000115,SIN-010097,Copia matrícula,1,0,2022-02-05,0,
DOC-0000116,SIN-010097,Cédula del asegurado,1,1,2022-02-05,0,
DOC-0000117,SIN-010221,Parte policial,1,1,2025-03-26,0,
DOC-0000118,SIN-010221,Fotografías del daño,1,1,2025-03-27,0,
DOC-0000119,SIN-010221,Proforma de reparación,1,0,2025-03-23,0,
DOC-0000120,SIN-010221,Copia matrícula,1,1,2025-03-22,0,
DOC-0000121,SIN-010221,Cédula del asegurado,1,1,2025-03-24,0,
DOC-0000122,SIN-005900,Parte policial,1,1,2025-07-22,1,Firma del médico no verificada
DOC-0000123,SIN-005900,Fotografías del daño,1,1,2025-07-22,0,
DOC-0000124,SIN-005900,Proforma de reparación,1,1,2025-07-22,0,
DOC-0000125,SIN-005900,Copia matrícula,1,1,2025-07-21,0,
DOC-0000126,SIN-005900,Cédula del asegurado,1,0,2025-07-22,0,
DOC-0000127,SIN-001115,Parte policial,1,1,2022-09-14,0,
DOC-0000128,SIN-001115,Fotografías del daño,1,1,2022-09-15,0,
DOC-0000129,SIN-001115,Proforma de reparación,0,1,2022-09-14,0,
DOC-0000130,SIN-001115,Copia matrícula,1,1,2022-09-13,0,
DOC-0000131,SIN-001115,Cédula del asegurado,1,1,2022-09-14,0,
DOC-0000132,SIN-002088,Historia clínica,1,1,2025-10-31,0,
DOC-0000133,SIN-002088,Facturas médicas,1,1,2025-10-28,0,
DOC-0000134,SIN-002088,Informe médico,1,1,2025-10-29,0,
DOC-0000135,SIN-002088,Recetas prescritas,1,1,2025-10-28,0,
DOC-0000136,SIN-002088,Cédula del asegurado,1,1,2025-10-29,0,
DOC-0000137,SIN-001400,Parte policial,1,0,2022-06-22,0,
DOC-0000138,SIN-001400,Fotografías del daño,1,1,2022-06-24,1,
DOC-0000139,SIN-001400,Proforma de reparación,1,1,2022-06-22,0,
DOC-0000140,SIN-001400,Copia matrícula,1,1,2022-06-24,0,
DOC-0000141,SIN-001400,Cédula del asegurado,1,1,2022-06-21,0,
DOC-0000142,SIN-004338,Parte policial,1,1,2021-01-09,0,
DOC-0000143,SIN-004338,Fotografías del daño,1,1,2021-01-08,0,
DOC-0000144,SIN-004338,Proforma de reparación,1,1,2021-01-07,0,
DOC-0000145,SIN-004338,Copia matrícula,1,1,2021-01-06,0,
DOC-0000146,SIN-004338,Cédula del asegurado,1,1,2021-01-09,1,Contradicción entre parte policial y narrativa del asegurado
DOC-0000147,SIN-007497,Parte policial,0,0,2022-08-04,0,
DOC-0000148,SIN-007497,Fotografías del daño,1,1,2022-08-06,0,
DOC-0000149,SIN-007497,Proforma de reparación,1,1,2022-08-06,0,
DOC-0000150,SIN-007497,Copia matrícula,1,1,2022-08-06,0,
DOC-0000151,SIN-007497,Cédula del asegurado,1,1,2022-08-04,0,
DOC-0000152,SIN-011580,Certificado de defunción,1,1,2023-05-16,0,
DOC-0000153,SIN-011580,Informe médico causa muerte,1,1,2023-05-12,0,
DOC-0000154,SIN-011580,Cédula beneficiario,1,1,2023-05-13,0,
DOC-0000155,SIN-011580,Póliza original,1,1,2023-05-11,0,
DOC-0000156,SIN-008748,Certificado de defunción,1,0,2021-11-09,0,
DOC-0000157,SIN-008748,Informe médico causa muerte,1,1,2021-11-07,0,
DOC-0000158,SIN-008748,Cédula beneficiario,1,1,2021-11-09,0,
DOC-0000159,SIN-008748,Póliza original,1,1,2021-11-08,1,Proforma de taller en lista de observación
DOC-0000160,SIN-003785,Fotografías del daño,1,0,2022-08-04,0,
DOC-0000161,SIN-003785,Informe de perito,1,1,2022-08-08,0,
DOC-0000162,SIN-003785,Facturas de bienes afectados,1,0,2022-08-07,0,
DOC-0000163,SIN-003785,Parte policial,1,1,2022-08-06,0,
DOC-0000164,SIN-003785,Cédula del asegurado,1,1,2022-08-08,0,
DOC-0000165,SIN-002743,Certificado de defunción,1,1,2022-03-06,0,
DOC-0000166,SIN-002743,Informe médico causa muerte,1,1,2022-03-05,0,
DOC-0000167,SIN-002743,Cédula beneficiario,1,1,2022-03-06,0,
DOC-0000168,SIN-002743,Póliza original,1,1,2022-03-03,0,
DOC-0000169,SIN-001618,Certificado de defunción,0,0,2020-11-21,0,
DOC-0000170,SIN-001618,Informe médico causa muerte,1,1,2020-11-20,1,Monto en factura difiere del reclamado
DOC-0000171,SIN-001618,Cédula beneficiario,1,1,2020-11-18,1,
DOC-0000172,SIN-001618,Póliza original,0,0,2020-11-23,0,
DOC-0000173,SIN-008048,Parte policial,1,1,2022-06-13,1,Documento emitido con fecha posterior al siniestro
DOC-0000174,SIN-008048,Fotografías del daño,1,1,2022-06-02,0,
DOC-0000175,SIN-008048,Proforma de reparación,1,1,2022-06-08,1,Monto en factura difiere del reclamado
DOC-0000176,SIN-008048,Copia matrícula,1,0,2022-05-30,0,
DOC-0000177,SIN-008048,Cédula del asegurado,1,1,2022-05-30,0,
DOC-0000178,SIN-002037,Parte policial,1,1,2022-08-25,0,
DOC-0000179,SIN-002037,Fotografías del daño,1,1,2022-08-23,0,
DOC-0000180,SIN-002037,Proforma de reparación,1,1,2022-08-25,0,
DOC-0000181,SIN-002037,Copia matrícula,1,1,2022-08-22,0,
DOC-0000182,SIN-002037,Cédula del asegurado,1,1,2022-08-22,0,
DOC-0000183,SIN-012025,Informe técnico,1,1,2022-06-21,1,Número de serie del vehículo no legible
DOC-0000184,SIN-012025,Fotografías del daño,1,1,2022-06-19,0,
DOC-0000185,SIN-012025,Facturas,1,0,2022-06-17,0,
DOC-0000186,SIN-012025,Parte policial,1,1,2022-06-16,0,
DOC-0000187,SIN-012025,Cédula del asegurado,1,0,2022-06-18,0,
DOC-0000188,SIN-002010,Certificado de defunción,1,1,2020-12-13,0,
DOC-0000189,SIN-002010,Informe médico causa muerte,1,0,2020-12-13,0,
DOC-0000190,SIN-002010,Cédula beneficiario,1,1,2020-12-15,0,
DOC-0000191,SIN-002010,Póliza original,0,0,2020-12-14,0,
DOC-0000192,SIN-005258,Historia clínica,1,0,2024-01-08,0,
DOC-0000193,SIN-005258,Facturas médicas,1,1,2024-01-04,1,Número de serie del vehículo no legible
DOC-0000194,SIN-005258,Informe médico,1,1,2024-01-04,0,
DOC-0000195,SIN-005258,Recetas prescritas,1,1,2024-01-08,0,
DOC-0000196,SIN-005258,Cédula del asegurado,1,1,2024-01-04,0,
DOC-0000197,SIN-005279,Parte policial,1,1,2022-01-11,0,
DOC-0000198,SIN-005279,Fotografías del daño,1,1,2022-01-12,0,
DOC-0000199,SIN-005279,Proforma de reparación,1,1,2022-01-08,0,
DOC-0000200,SIN-005279,Copia matrícula,1,1,2022-01-10,0,
DOC-0000201,SIN-005279,Cédula del asegurado,1,1,2022-01-09,0,
DOC-0000202,SIN-005546,Historia clínica,1,1,2022-07-25,0,
DOC-0000203,SIN-005546,Facturas médicas,1,1,2022-07-25,0,
DOC-0000204,SIN-005546,Informe médico,1,1,2022-07-25,0,
DOC-0000205,SIN-005546,Recetas prescritas,1,1,2022-07-29,0,
DOC-0000206,SIN-005546,Cédula del asegurado,0,1,2022-07-29,0,
DOC-0000207,SIN-005862,Parte policial,0,0,2024-12-05,1,
DOC-0000208,SIN-005862,Fotografías del daño,1,1,2024-12-06,0,
DOC-0000209,SIN-005862,Proforma de reparación,0,1,2024-12-07,0,
DOC-0000210,SIN-005862,Copia matrícula,1,1,2024-12-05,0,
DOC-0000211,SIN-005862,Cédula del asegurado,1,1,2024-12-06,0,
DOC-0000212,SIN-000994,Parte policial,1,1,2023-08-31,0,
DOC-0000213,SIN-000994,Fotografías del daño,1,1,2023-09-01,0,
DOC-0000214,SIN-000994,Proforma de reparación,1,0,2023-09-01,0,
DOC-0000215,SIN-000994,Copia matrícula,1,1,2023-08-31,0,
DOC-0000216,SIN-000994,Cédula del asegurado,1,0,2023-09-01,0,
DOC-0000217,SIN-006751,Informe técnico,1,0,2021-01-17,0,
DOC-0000218,SIN-006751,Fotografías del daño,1,1,2021-01-21,0,
DOC-0000219,SIN-006751,Facturas,1,1,2021-01-21,0,
DOC-0000220,SIN-006751,Parte policial,1,1,2021-01-18,0,
DOC-0000221,SIN-006751,Cédula del asegurado,1,1,2021-01-18,0,
DOC-0000222,SIN-008918,Parte policial,0,0,2023-08-05,0,
DOC-0000223,SIN-008918,Fotografías del daño,1,1,2023-08-04,0,
DOC-0000224,SIN-008918,Proforma de reparación,1,0,2023-08-08,0,
DOC-0000225,SIN-008918,Copia matrícula,1,0,2023-08-05,0,
DOC-0000226,SIN-008918,Cédula del asegurado,1,0,2023-08-06,0,
DOC-0000227,SIN-005498,Fotografías del daño,1,1,2021-05-15,0,
DOC-0000228,SIN-005498,Informe de perito,1,1,2021-05-16,0,
DOC-0000229,SIN-005498,Facturas de bienes afectados,1,1,2021-05-15,0,
DOC-0000230,SIN-005498,Parte policial,1,1,2021-05-14,0,
DOC-0000231,SIN-005498,Cédula del asegurado,1,1,2021-05-16,0,
DOC-0000232,SIN-004915,Certificado de defunción,1,1,2025-08-28,0,
DOC-0000233,SIN-004915,Informe médico causa muerte,1,1,2025-08-30,0,
DOC-0000234,SIN-004915,Cédula beneficiario,1,1,2025-08-27,0,
DOC-0000235,SIN-004915,Póliza original,1,1,2025-08-31,0,
DOC-0000236,SIN-009623,Informe técnico,1,1,2021-03-06,0,
DOC-0000237,SIN-009623,Fotografías del daño,1,0,2021-03-09,0,
DOC-0000238,SIN-009623,Facturas,0,0,2021-03-07,0,
DOC-0000239,SIN-009623,Parte policial,1,1,2021-03-07,0,
DOC-0000240,SIN-009623,Cédula del asegurado,1,1,2021-03-07,0,
DOC-0000241,SIN-005187,Certificado de defunción,1,1,2024-10-09,0,
DOC-0000242,SIN-005187,Informe médico causa muerte,1,1,2024-10-11,0,
DOC-0000243,SIN-005187,Cédula beneficiario,0,0,2024-10-08,0,
DOC-0000244,SIN-005187,Póliza original,1,0,2024-10-08,0,
DOC-0000245,SIN-009282,Parte policial,0,1,2022-11-02,0,
DOC-0000246,SIN-009282,Fotografías del daño,1,1,2022-11-02,0,
DOC-0000247,SIN-009282,Proforma de reparación,1,1,2022-11-01,0,
DOC-0000248,SIN-009282,Copia matrícula,1,1,2022-11-04,0,
DOC-0000249,SIN-009282,Cédula del asegurado,1,1,2022-11-01,0,
DOC-0000250,SIN-004025,Historia clínica,1,1,2024-11-11,0,
DOC-0000251,SIN-004025,Facturas médicas,1,0,2024-11-10,0,
DOC-0000252,SIN-004025,Informe médico,1,1,2024-11-10,0,
DOC-0000253,SIN-004025,Recetas prescritas,0,0,2024-11-09,0,
DOC-0000254,SIN-004025,Cédula del asegurado,1,0,2024-11-08,0,
DOC-0000255,SIN-010849,Parte policial,1,1,2021-06-14,0,
DOC-0000256,SIN-010849,Fotografías del daño,1,1,2021-06-15,0,
DOC-0000257,SIN-010849,Proforma de reparación,1,0,2021-06-15,0,
DOC-0000258,SIN-010849,Copia matrícula,1,1,2021-06-17,0,
DOC-0000259,SIN-010849,Cédula del asegurado,1,1,2021-06-17,0,
DOC-0000260,SIN-004845,Parte policial,1,1,2021-12-13,0,
DOC-0000261,SIN-004845,Fotografías del daño,1,1,2021-12-14,0,
DOC-0000262,SIN-004845,Proforma de reparación,1,1,2021-12-10,0,
DOC-0000263,SIN-004845,Copia matrícula,1,1,2021-12-15,0,
DOC-0000264,SIN-004845,Cédula del asegurado,1,1,2021-12-12,0,
DOC-0000265,SIN-012106,Parte policial,1,1,2022-07-01,0,
DOC-0000266,SIN-012106,Fotografías del daño,1,1,2022-06-29,0,
DOC-0000267,SIN-012106,Proforma de reparación,1,1,2022-07-01,0,
DOC-0000268,SIN-012106,Copia matrícula,1,1,2022-06-30,0,
DOC-0000269,SIN-012106,Cédula del asegurado,0,0,2022-07-01,0,
DOC-0000270,SIN-011016,Parte policial,0,0,2023-06-05,0,
DOC-0000271,SIN-011016,Fotografías del daño,0,0,2023-06-04,0,
DOC-0000272,SIN-011016,Proforma de reparación,0,0,2023-06-06,0,
DOC-0000273,SIN-011016,Copia matrícula,0,0,2023-06-06,0,
DOC-0000274,SIN-011016,Cédula del asegurado,0,0,2023-06-02,0,
DOC-0000275,SIN-000539,Parte policial,1,1,2020-10-28,0,
DOC-0000276,SIN-000539,Fotografías del daño,1,1,2020-11-01,1,Contradicción entre parte policial y narrativa del asegurado
DOC-0000277,SIN-000539,Proforma de reparación,1,1,2020-10-28,0,
DOC-0000278,SIN-000539,Copia matrícula,1,1,2020-10-27,0,
DOC-0000279,SIN-000539,Cédula del asegurado,1,1,2020-10-28,0,
DOC-0000280,SIN-002145,Historia clínica,1,1,2025-02-14,0,
DOC-0000281,SIN-002145,Facturas médicas,1,1,2025-02-16,0,
DOC-0000282,SIN-002145,Informe médico,1,1,2025-02-16,0,
DOC-0000283,SIN-002145,Recetas prescritas,1,1,2025-02-16,0,
DOC-0000284,SIN-002145,Cédula del asegurado,1,1,2025-02-15,0,
DOC-0000285,SIN-012390,Parte policial,1,1,2021-01-05,0,
DOC-0000286,SIN-012390,Fotografías del daño,1,1,2021-01-06,0,
DOC-0000287,SIN-012390,Proforma de reparación,1,1,2021-01-07,0,
DOC-0000288,SIN-012390,Copia matrícula,1,1,2021-01-04,0,
DOC-0000289,SIN-012390,Cédula del asegurado,1,1,2021-01-06,0,
DOC-0000290,SIN-000386,Parte policial,1,1,2025-10-04,0,
DOC-0000291,SIN-000386,Fotografías del daño,1,1,2025-10-07,0,
DOC-0000292,SIN-000386,Proforma de reparación,1,1,2025-10-03,0,
DOC-0000293,SIN-000386,Copia matrícula,1,1,2025-10-03,0,
DOC-0000294,SIN-000386,Cédula del asegurado,1,1,2025-10-06,0,
DOC-0000295,SIN-004376,Parte policial,1,1,2023-09-13,0,
DOC-0000296,SIN-004376,Fotografías del daño,0,0,2023-09-10,0,
DOC-0000297,SIN-004376,Proforma de reparación,1,1,2023-09-14,0,
DOC-0000298,SIN-004376,Copia matrícula,1,1,2023-09-10,0,
DOC-0000299,SIN-004376,Cédula del asegurado,1,1,2023-09-09,0,
DOC-0000300,SIN-008483,Historia clínica,1,1,2022-09-28,0,
DOC-0000301,SIN-008483,Facturas médicas,1,1,2022-09-27,0,
DOC-0000302,SIN-008483,Informe médico,1,1,2022-09-26,0,
DOC-0000303,SIN-008483,Recetas prescritas,1,1,2022-10-01,0,
DOC-0000304,SIN-008483,Cédula del asegurado,0,0,2022-09-28,0,
DOC-0000305,SIN-001422,Historia clínica,1,1,2022-04-26,0,
DOC-0000306,SIN-001422,Facturas médicas,1,1,2022-04-29,0,
DOC-0000307,SIN-001422,Informe médico,1,1,2022-04-24,0,
DOC-0000308,SIN-001422,Recetas prescritas,1,0,2022-04-25,0,
DOC-0000309,SIN-001422,Cédula del asegurado,1,1,2022-04-24,0,
DOC-0000310,SIN-005848,Certificado de defunción,1,1,2022-12-13,0,
DOC-0000311,SIN-005848,Informe médico causa muerte,1,1,2022-12-16,0,
DOC-0000312,SIN-005848,Cédula beneficiario,1,1,2022-12-12,0,
DOC-0000313,SIN-005848,Póliza original,0,1,2022-12-15,0,
DOC-0000314,SIN-003653,Parte policial,0,0,2023-02-19,0,
DOC-0000315,SIN-003653,Fotografías del daño,0,0,2023-02-24,1,
DOC-0000316,SIN-003653,Proforma de reparación,1,1,2023-02-19,0,
DOC-0000317,SIN-003653,Copia matrícula,0,0,2023-02-23,0,
DOC-0000318,SIN-003653,Cédula del asegurado,1,1,2023-02-22,0,
DOC-0000319,SIN-002020,Fotografías del daño,1,1,2021-09-16,0,
DOC-0000320,SIN-002020,Informe de perito,1,0,2021-09-15,0,
DOC-0000321,SIN-002020,Facturas de bienes afectados,1,1,2021-09-18,0,
DOC-0000322,SIN-002020,Parte policial,1,1,2021-09-15,0,
DOC-0000323,SIN-002020,Cédula del asegurado,1,1,2021-09-16,0,
DOC-0000324,SIN-011499,Fotografías del daño,1,0,2020-10-16,0,
DOC-0000325,SIN-011499,Informe de perito,1,1,2020-10-20,1,Documento con posibles alteraciones en la fecha
DOC-0000326,SIN-011499,Facturas de bienes afectados,1,1,2020-10-18,0,
DOC-0000327,SIN-011499,Parte policial,1,1,2020-10-15,0,
DOC-0000328,SIN-011499,Cédula del asegurado,1,1,2020-10-20,0,
DOC-0000329,SIN-002609,Historia clínica,1,1,2022-07-31,0,
DOC-0000330,SIN-002609,Facturas médicas,1,1,2022-07-30,0,
DOC-0000331,SIN-002609,Informe médico,1,1,2022-07-30,0,
DOC-0000332,SIN-002609,Recetas prescritas,1,1,2022-07-31,1,
DOC-0000333,SIN-002609,Cédula del asegurado,0,1,2022-07-30,0,
DOC-0000334,SIN-010139,Certificado de defunción,1,1,2022-06-25,0,
DOC-0000335,SIN-010139,Informe médico causa muerte,1,1,2022-06-29,0,
DOC-0000336,SIN-010139,Cédula beneficiario,1,1,2022-06-29,1,Documento con posibles alteraciones en la fecha
DOC-0000337,SIN-010139,Póliza original,1,1,2022-06-30,0,
DOC-0000338,SIN-002392,Parte policial,1,1,2024-01-19,0,
DOC-0000339,SIN-002392,Fotografías del daño,1,1,2024-01-17,0,
DOC-0000340,SIN-002392,Proforma de reparación,1,1,2024-01-22,0,
DOC-0000341,SIN-002392,Copia matrícula,1,1,2024-01-20,0,
DOC-0000342,SIN-002392,Cédula del asegurado,1,1,2024-01-19,0,
DOC-0000343,SIN-011018,Historia clínica,1,1,2022-11-04,0,
DOC-0000344,SIN-011018,Facturas médicas,1,1,2022-11-03,0,
DOC-0000345,SIN-011018,Informe médico,1,1,2022-11-01,0,
DOC-0000346,SIN-011018,Recetas prescritas,1,1,2022-10-31,0,
DOC-0000347,SIN-011018,Cédula del asegurado,1,1,2022-11-01,0,
DOC-0000348,SIN-009116,Certificado de defunción,1,1,2022-01-01,0,
DOC-0000349,SIN-009116,Informe médico causa muerte,1,0,2021-12-29,0,
DOC-0000350,SIN-009116,Cédula beneficiario,1,1,2022-01-02,0,
DOC-0000351,SIN-009116,Póliza original,1,1,2022-01-03,0,
DOC-0000352,SIN-003038,Parte policial,1,1,2022-09-26,0,
DOC-0000353,SIN-003038,Fotografías del daño,1,1,2022-09-26,0,
DOC-0000354,SIN-003038,Proforma de reparación,1,0,2022-09-28,0,
DOC-0000355,SIN-003038,Copia matrícula,1,1,2022-09-30,0,
DOC-0000356,SIN-003038,Cédula del asegurado,1,1,2022-09-26,0,
DOC-0000357,SIN-007827,Fotografías del daño,0,1,2023-08-25,0,
DOC-0000358,SIN-007827,Informe de perito,1,1,2023-08-23,0,
DOC-0000359,SIN-007827,Facturas de bienes afectados,1,1,2023-08-24,0,
DOC-0000360,SIN-007827,Parte policial,1,1,2023-08-23,0,
DOC-0000361,SIN-007827,Cédula del asegurado,1,1,2023-08-23,0,
DOC-0000362,SIN-000829,Certificado de defunción,1,0,2021-11-18,0,
DOC-0000363,SIN-000829,Informe médico causa muerte,1,1,2021-11-13,0,
DOC-0000364,SIN-000829,Cédula beneficiario,1,1,2021-11-13,0,
DOC-0000365,SIN-000829,Póliza original,1,1,2021-11-17,0,
