id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza,duracion_meses
POL-000057,AS-00538,Vehículos,2021-04-22,2022-04-17,1755.1085140903294,42178.07589028226,518.1814874412173,Digital,Guayaquil,Vencida,12
POL-000058,AS-01194,Vehículos,2024-09-26,2025-09-21,1981.4051954675956,21227.98066953868,1282.3439182852642,Digital,Quito,Vigente,12
POL-000059,AS-00273,Vehículos,2024-08-27,2026-08-17,1325.8220196252578,65463.70856391638,1057.740483230619,Corredor,Riobamba,Vigente,24
POL-000060,AS-01954,Salud,2021-11-25,2023-11-15,3535.449106721601,87596.32372703766,351.86711617669334,Bancaseguros,Machala,Vencida,24
POL-000061,AS-02329,Vehículos,2022-10-24,2024-10-13,849.3706497371136,23617.33717611399,1014.010800131408,Agente,Riobamba,Vencida,24
POL-000062,AS-01628,Salud,2024-11-25,2025-11-20,2997.9593326833233,31244.952095714594,405.83200682296297,Corredor,Guayaquil,Vigente,12
POL-000063,AS-04979,Vehículos,2024-06-24,2025-06-19,1751.5561098997969,9374.490454825704,814.1332172666591,Agente,Quito,Vigente,12
POL-000064,AS-02140,Vehículos,2021-01-07,2022-01-02,1490.1724193515429,58871.761704823606,1212.7536913028862,Agente,Ambato,Vencida,12
POL-000065,AS-01685,Vehículos,2021-02-09,2022-02-04,1205.0140263278906,69972.57828596525,1341.0013954595738,Agente,Manta,Vencida,12
POL-000066,AS-03291,Vida,2022-08-07,2024-07-27,1036.311547386399,98717.21129241731,12.507385801767812,Digital,Loja,Vencida,24
POL-000067,AS-00859,Salud,2020-08-15,2021-08-10,2181.2480241272424,22237.073985890333,581.7791339560075,Digital,Ibarra,Vencida,12
POL-000068,AS-04821,Salud,2022-12-07,2023-06-05,1114.636487358232,52984.49852887031,107.67558698661851,Corredor,Santo Domingo,Vencida,6
POL-000069,AS-00450,Vehículos,2023-03-18,2024-03-12,928.6534958303725,76418.94064580086,659.6168245249257,Agente,Manta,Vencida,12
POL-000070,AS-05919,Vehículos,2023-05-17,2023-11-13,767.7016474934651,10036.038421014122,1473.6944394323732,Digital,Quito,Vencida,6
POL-000071,AS-04644,Hogar,2024-06-24,2024-12-21,519.3275756162948,66563.7102648372,447.41113693586414,Agente,Santo Domingo,Vencida,6
POL-000072,AS-01210,Vehículos,2021-12-09,2022-12-04,1761.746777027217,62331.02295038391,279.47537842575736,Agente,Cuenca,Vencida,12
POL-000073,AS-00036,Generales,2023-08-03,2024-01-30,3085.552924438381,446493.3739147685,2122.959930876327,Agente,Santo Domingo,Vencida,6
POL-000074,AS-04902,Vehículos,2023-12-22,2024-12-16,565.1877455752292,61435.24553369239,1335.4256891207667,Corredor,Manta,Vencida,12
POL-000075,AS-04272,Vehículos,2023-05-22,2024-05-16,1279.2215208487864,51218.705606140094,296.61262330145985,Bancaseguros,Quito,Vencida,12
POL-000076,AS-04395,Vehículos,2022-11-27,2023-11-22,2512.9225365942807,52912.26053757435,1316.4433010937337,Agente,Quito,Vencida,12
POL-000077,AS-04639,Vehículos,2023-10-27,2025-10-16,1662.2131884202427,73787.80215919898,1240.4837627248182,Digital,Esmeraldas,Vigente,24
POL-000078,AS-00446,Vida,2023-12-17,2024-12-11,2521.6285541771213,36812.749209814196,0.0,Corredor,Guayaquil,Vencida,12
POL-000079,AS-02150,Vehículos,2023-03-18,2024-03-12,1044.841881542564,42526.18564072346,618.9963213061272,Corredor,Quito,Vencida,12
POL-000080,AS-00701,Vehículos,2021-12-29,2022-12-24,1659.4852758978197,26749.636849986262,187.628123560873,Agente,Guayaquil,Vencida,12
POL-000081,AS-05187,Vehículos,2021-01-31,2022-01-26,819.6077854915088,39855.35224964503,1114.8836113567256,Digital,Quito,Vencida,12
POL-000082,AS-03774,Vehículos,2023-12-21,2024-12-15,991.0351327626206,50276.6623715313,766.8772631009467,Agente,Guayaquil,Vencida,12
POL-000083,AS-01990,Vehículos,2021-05-24,2022-05-19,1394.1730582322612,27552.482286923794,519.2242146937167,Digital,Machala,Vencida,12
POL-000084,AS-00382,Vehículos,2021-06-19,2023-06-09,689.0005963254251,21724.074104691364,883.2160374490878,Digital,Santo Domingo,Vencida,24
POL-000085,AS-01867,Generales,2024-10-09,2025-10-04,4075.153255621256,148370.50773712926,2083.129348508951,Corredor,Guayaquil,Vigente,12
POL-000086,AS-01954,Vida,2025-01-11,2025-07-10,1792.6002135624904,146561.7433908254,64.06348227006713,Agente,Machala,Vigente,6
POL-000087,AS-04399,Hogar,2022-02-12,2024-02-02,595.7124831163904,61379.07084045236,884.8760748238972,Corredor,Guayaquil,Vencida,24
POL-000088,AS-03859,Vehículos,2024-12-20,2025-12-15,1200.981958056475,10471.561618692032,1030.3339488202907,Digital,Cuenca,Vigente,12
POL-000089,AS-05336,Vida,2023-12-11,2024-06-08,689.2172834269526,159681.8113051432,0.0,Bancaseguros,Quito,Vencida,6
POL-000090,AS-02865,Vida,2022-10-23,2023-10-18,2832.9950554838365,72374.45612396342,0.0,Agente,Riobamba,Vencida,12
POL-000091,AS-00724,Vehículos,2021-03-09,2021-09-05,520.8258132301291,60244.996995420974,1020.3758181389841,Corredor,Quito,Vencida,6
POL-000092,AS-04309,Vehículos,2024-06-16,2025-06-11,320.70494080770527,39772.351711229625,1011.4366062316004,Agente,Quito,Vigente,12
POL-000093,AS-04576,Vehículos,2022-10-16,2023-10-11,440.5721278667801,22436.931541483034,510.3509778177523,Digital,Loja,Vencida,12
POL-000094,AS-03400,Salud,2024-09-09,2025-09-04,2411.346648549705,67284.18876746098,819.3946950291545,Digital,Portoviejo,Vigente,12
POL-000095,AS-04637,Vehículos,2021-02-19,2022-02-14,2071.897303837061,74182.56136009813,807.6467987127157,Agente,Quito,Vencida,12
POL-000096,AS-02989,Vehículos,2022-04-23,2023-04-18,1284.9028025828518,11905.862193302966,206.40293741460073,Agente,Cuenca,Vencida,12
POL-000097,AS-03163,Vehículos,2021-07-22,2022-01-18,2170.7816922935804,49805.81639329852,1437.5624333526753,Agente,Guayaquil,Vencida,6
POL-000098,AS-02585,Salud,2021-02-04,2021-08-03,1211.2565368090943,58684.52323075532,533.4064566861706,Agente,Riobamba,Vencida,6
POL-000099,AS-00153,Generales,2024-10-28,2025-10-23,2615.7185972396437,212835.69523255524,1882.6317998600148,Agente,Manta,Vigente,12
POL-000100,AS-00652,Vehículos,2021-08-15,2022-08-10,2351.5208168616587,66347.17799474293,941.5434969457552,Agente,Guayaquil,Vencida,12
POL-000101,AS-00187,Vehículos,2023-01-26,2025-01-15,2046.9110664705674,62062.79238731593,185.36277236383287,Agente,Machala,Vencida,24
POL-000102,AS-03852,Vehículos,2021-11-04,2022-10-30,1922.8590538191984,50848.37230969408,1223.3348145459256,Agente,Riobamba,Vencida,12
POL-000103,AS-01890,Salud,2021-06-02,2022-05-28,2209.4985456278746,12416.618101966156,604.383682315919,Bancaseguros,Santo Domingo,Vencida,12
POL-000104,AS-03076,Vida,2023-01-18,2023-07-17,616.5732609444093,187435.32929027232,0.0,Agente,Guayaquil,Vencida,6
POL-000105,AS-05456,Vehículos,2022-07-17,2023-07-12,2332.8740905937707,25955.94587657322,1172.9856135853586,Agente,Guayaquil,Vencida,12
POL-000106,AS-01501,Vehículos,2024-07-10,2025-07-05,1166.999486730079,69734.32698461352,971.7701697135981,Corredor,Guayaquil,Vigente,12
POL-000107,AS-02473,Hogar,2023-01-04,2023-12-30,702.3714779416483,97597.99096101432,757.5037368672118,Agente,Ambato,Vencida,12
POL-000108,AS-04544,Vida,2020-06-25,2021-06-20,793.2139631560158,119817.00531233787,39.244434374709265,Corredor,Guayaquil,Vencida,12
POL-000109,AS-01386,Salud,2023-07-13,2024-07-07,3602.450829858206,101532.59266145044,237.63796148983627,Corredor,Ibarra,Vencida,12
POL-000110,AS-00464,Hogar,2022-09-07,2023-09-02,1112.642940063617,101444.74633489508,957.2929654515607,Agente,Guayaquil,Vencida,12
POL-000111,AS-01737,Vida,2025-02-16,2026-02-11,658.3737025085313,188163.5142559816,0.0,Bancaseguros,Guayaquil,Vigente,12
POL-000112,AS-00978,Vehículos,2022-10-10,2023-04-08,333.3175364465035,14895.18527846909,1372.0567962829298,Digital,Ambato,Vencida,6
POL-000113,AS-05581,Vehículos,2021-11-03,2022-10-29,1829.4428445710969,50905.4448714621,1367.5237967878463,Digital,Riobamba,Vencida,12
POL-000114,AS-04862,Hogar,2021-04-22,2022-04-17,1520.3908475203978,63712.97758529989,1214.247257544127,Agente,Cuenca,Vencida,12
POL-000115,AS-03836,Vehículos,2024-01-23,2025-01-17,1924.2031902568203,36546.61661495543,404.66114228664617,Corredor,Manta,Vencida,12
POL-000116,AS-05238,Hogar,2025-03-04,2026-02-27,263.70694920324246,98122.54761766829,875.2323720780814,Agente,Ibarra,Vigente,12
POL-000117,AS-04831,Vehículos,2020-11-21,2021-11-16,694.9218047877545,17578.589996775434,1034.6826871589951,Corredor,Cuenca,Vencida,12
POL-000118,AS-01139,Salud,2024-01-13,2025-01-07,2041.2305597732118,33192.10169065348,252.9286734139136,Corredor,Riobamba,Vencida,12
POL-000119,AS-05368,Hogar,2022-11-10,2023-11-05,1510.4538332803602,117876.28015558764,777.9685591630048,Corredor,Tulcán,Vencida,12
POL-000120,AS-03269,Salud,2023-03-07,2024-03-01,3632.9786602333756,19604.990495694386,326.34093226549805,Corredor,Guayaquil,Vencida,12
POL-000121,AS-04859,Vehículos,2020-09-06,2021-03-05,1817.250542847271,26461.264545444858,983.1683035119081,Corredor,Quito,Vencida,6
POL-000122,AS-05391,Vida,2022-07-20,2023-07-15,2448.7337805609336,176065.51959258018,0.0,Agente,Esmeraldas,Vencida,12
POL-000123,AS-01914,Vehículos,2024-04-08,2025-04-03,1782.809960512355,56533.647565631916,1171.0518827055505,Digital,Quito,Vencida,12
POL-000124,AS-00667,Vida,2021-09-17,2023-09-07,467.27849204734395,161882.00111556068,0.0,Corredor,Loja,Vencida,24
POL-000125,AS-01380,Vida,2021-02-22,2022-02-17,1523.7465212261736,55581.37179155024,41.177305992098674,Agente,Santo Domingo,Vencida,12
POL-000126,AS-02583,Hogar,2023-10-22,2024-10-16,1419.7564461671352,43096.80120780129,1702.830979136528,Agente,Loja,Vencida,12
POL-000127,AS-04917,Vida,2024-09-09,2025-09-04,1537.5424504144546,34438.710063809216,66.68192809299137,Digital,Babahoyo,Vigente,12
POL-000128,AS-05174,Vehículos,2023-02-09,2024-02-04,2359.241738775088,63488.6431751773,732.5827289160635,Corredor,Manta,Vencida,12
POL-000129,AS-00046,Vehículos,2021-07-25,2022-07-20,1957.5351959229329,24527.33606929695,767.0832706001056,Corredor,Latacunga,Vencida,12
POL-000130,AS-03089,Vehículos,2021-11-11,2022-11-06,2188.796802214991,47502.94892923644,1462.8709359144555,Corredor,Quito,Vencida,12
POL-000131,AS-02526,Vehículos,2023-08-23,2025-08-12,1594.3270936092736,13638.078983298976,266.13154169940987,Digital,Riobamba,Vigente,24
POL-000132,AS-01344,Vehículos,2023-02-27,2024-02-22,1302.469805627886,56256.78293010669,1108.1403466787697,Agente,Guayaquil,Vencida,12
POL-000133,AS-00726,Vehículos,2023-01-04,2023-12-30,1648.3654913017092,68096.6214330876,947.7238472501311,Digital,Quito,Vencida,12
POL-000134,AS-02026,Vehículos,2022-11-04,2023-10-30,2447.843184599173,72960.88989021252,224.81757353420315,Corredor,Quito,Vencida,12
POL-000135,AS-05650,Salud,2023-02-07,2024-02-02,1467.2962763874204,92679.14389562963,710.1267083285952,Bancaseguros,Guayaquil,Vencida,12
POL-000136,AS-01942,Vehículos,2025-03-20,2026-03-15,443.14207613757816,29902.9491613062,1488.9111828852324,Agente,Santo Domingo,Vigente,12
POL-000137,AS-03137,Vehículos,2022-01-18,2023-01-13,744.7354102821554,68313.11346290895,599.1472909587419,Digital,Quito,Vencida,12
POL-000138,AS-04252,Hogar,2024-07-10,2026-06-30,1459.8964171434588,73022.46508396865,1648.4632197795074,Agente,Cuenca,Vigente,24
POL-000139,AS-02179,Hogar,2020-11-30,2021-11-25,530.0266226989273,46618.95138225986,620.8557709730701,Agente,Ibarra,Vencida,12
POL-000140,AS-05832,Salud,2020-12-21,2021-12-16,1718.248679855579,64088.937832924064,401.19673709671207,Digital,Santo Domingo,Vencida,12
POL-000141,AS-05771,Salud,2021-08-22,2023-08-12,2399.917325131009,50255.62518782538,718.7285599793709,Digital,Riobamba,Vencida,24
POL-000142,AS-01511,Vida,2021-05-05,2022-04-30,2945.946864349842,32496.480817173455,0.0,Agente,Machala,Vencida,12
POL-000143,AS-03008,Vehículos,2022-01-20,2023-01-15,1385.3059702560831,28113.57983442943,1448.0954756613578,Agente,Riobamba,Vencida,12
POL-000144,AS-01801,Vehículos,2021-05-26,2021-11-22,556.803217304543,53348.60332490977,1327.4806751510469,Corredor,Santo Domingo,Vencida,6
POL-000145,AS-01708,Hogar,2023-01-06,2024-12-26,648.9341758411741,64654.637454462856,1074.3188482211501,Agente,Ibarra,Vencida,24
POL-000146,AS-00221,Vehículos,2021-06-26,2023-06-16,2421.674646513902,10027.41694682345,1267.7747347951913,Agente,Guayaquil,Vencida,24
POL-000147,AS-03698,Vida,2024-12-31,2025-12-26,1805.7652451097379,123365.64085867681,88.54787766738725,Agente,Guayaquil,Vigente,12
POL-000148,AS-03038,Vehículos,2021-02-16,2022-02-11,1149.2215477932161,77368.21778030283,338.4617993468985,Agente,Quito,Vencida,12
POL-000149,AS-00313,Vehículos,2024-06-20,2025-06-15,1790.3547041259837,21991.011508176758,311.71473457104787,Agente,Guayaquil,Vigente,12
POL-000150,AS-01670,Vehículos,2020-10-22,2021-10-17,1262.523189136787,46283.30838780197,1142.1038116792113,Digital,Santo Domingo,Vencida,12
POL-000151,AS-05460,Salud,2021-08-24,2022-08-19,3463.006406598373,34547.882694408276,223.6622919039903,Corredor,Cuenca,Vencida,12
POL-000152,AS-01441,Vehículos,2020-06-16,2020-12-13,625.8058808036033,53414.17769810229,348.1263881698444,Agente,Cuenca,Vencida,6
POL-000153,AS-00882,Generales,2023-03-24,2024-03-18,2308.0125466984296,174359.95492317216,2140.7304546885653,Agente,Ambato,Vencida,12
POL-000154,AS-02966,Vida,2025-01-15,2025-07-14,813.85252109515,148694.5512736282,45.40451491310695,Corredor,Guayaquil,Vigente,6
POL-000155,AS-05910,Vehículos,2022-11-09,2023-11-04,1228.9484689829683,21755.87138718907,926.4719994568044,Corredor,Riobamba,Vencida,12
POL-000156,AS-01454,Vehículos,2022-05-19,2023-05-14,1704.5524070934484,8308.954396449542,675.1387174818698,Corredor,Quito,Vencida,12
POL-000157,AS-04070,Vehículos,2024-07-25,2025-07-20,2165.968958637722,26854.437293839608,322.1774455855707,Agente,Ibarra,Vigente,12
POL-000158,AS-04581,Vehículos,2024-01-17,2025-01-11,1433.7620456185316,65403.69830076472,1283.6931016063502,Agente,Quito,Vencida,12
POL-000159,AS-01432,Vehículos,2023-07-31,2024-01-27,1473.3510275018764,48632.809717366166,1129.9423774820784,Corredor,Ambato,Vencida,6
POL-000160,AS-04389,Vehículos,2020-11-03,2021-10-29,2463.0358109094764,38604.203453425886,1062.186923672816,Agente,Babahoyo,Vencida,12
POL-000161,AS-02201,Vehículos,2023-02-02,2024-01-28,1381.9230222013682,34535.05561778729,585.7509775940207,Agente,Cuenca,Vencida,12
POL-000162,AS-03830,Vehículos,2024-09-11,2025-09-06,1525.0756425804705,20057.43483020338,1205.574022363629,Agente,Manta,Vigente,12
POL-000163,AS-03837,Generales,2024-10-04,2025-09-29,1226.140613803479,109193.52708572002,3132.557278752227,Corredor,Quito,Vigente,12
POL-000164,AS-03246,Salud,2022-07-26,2023-07-21,2088.0906746364126,60696.04931989693,543.9121553241348,Agente,Quito,Vencida,12
POL-000165,AS-00552,Hogar,2023-07-11,2025-06-30,1387.2723787288724,76568.81284619028,532.6953905530404,Corredor,Riobamba,Vigente,24
POL-000166,AS-05021,Salud,2023-05-13,2024-05-07,2372.9347508040505,41342.83160043976,277.15418881009504,Digital,Ambato,Vencida,12
POL-000167,AS-01928,Vehículos,2021-11-20,2023-11-10,1673.0317117953973,35608.38647494099,953.2364515845273,Digital,Guayaquil,Vencida,24
POL-000168,AS-01139,Vida,2022-02-17,2024-02-07,2293.4482002101918,79563.16515720123,0.0,Agente,Machala,Vencida,24
POL-000169,AS-00246,Vehículos,2020-08-22,2021-08-17,1042.6089060136003,57250.132707630146,940.3511096151339,Agente,Manta,Vencida,12
POL-000170,AS-03587,Vehículos,2022-05-28,2023-05-23,1579.7044662337837,32182.305264711904,1364.0477489540015,Agente,Guayaquil,Vencida,12
POL-000171,AS-04103,Vida,2021-10-18,2022-04-16,1990.3475169117162,31344.66142342836,0.0,Corredor,Ibarra,Vencida,6
POL-000172,AS-00102,Vehículos,2021-12-15,2022-12-10,2130.6152939414533,31139.70186389482,982.9566334981007,Digital,Quito,Vencida,12
POL-000173,AS-03099,Vehículos,2023-02-20,2024-02-15,581.4398251616041,58620.58512542943,277.10763159962085,Bancaseguros,Cuenca,Vencida,12
POL-000174,AS-01371,Salud,2021-05-24,2022-05-19,3476.770718991585,74690.3057811981,540.8171899373883,Agente,Guayaquil,Vencida,12
POL-000175,AS-03903,Salud,2023-04-21,2024-04-15,1672.968927780322,94255.04037300854,364.68506914122025,Agente,Babahoyo,Vencida,12
POL-000176,AS-01064,Vehículos,2023-09-05,2024-08-30,2246.9823191887494,13008.883419188061,1150.1166346055218,Bancaseguros,Guayaquil,Vencida,12
POL-000177,AS-04183,Hogar,2021-01-14,2022-01-09,1004.0923309192984,81441.23035287573,489.36631709002734,Agente,Quito,Vencida,12
POL-000178,AS-02318,Salud,2021-04-17,2023-04-07,2239.845498558571,49131.18579372194,659.7499001047169,Corredor,Cuenca,Vencida,24
POL-000179,AS-05620,Vehículos,2022-10-26,2023-10-21,804.027748285469,23458.57586929994,1484.2549368800321,Agente,Cuenca,Vencida,12
POL-000180,AS-00839,Hogar,2022-02-19,2023-02-14,1681.031236382216,62995.32848333809,765.7995357502817,Agente,Portoviejo,Vencida,12
POL-000181,AS-02045,Salud,2020-11-04,2021-10-30,2738.9442441117585,79957.12708299748,136.3561395149032,Bancaseguros,Santo Domingo,Vencida,12
POL-000182,AS-00686,Vehículos,2022-06-11,2023-06-06,2079.458260382834,26614.900035845632,1217.3432179058077,Bancaseguros,Quito,Vencida,12
POL-000183,AS-05550,Hogar,2024-02-03,2025-01-28,1194.1522113135659,107880.21106856821,1930.466872480671,Agente,Quito,Vencida,12
POL-000184,AS-05280,Vehículos,2024-11-16,2025-11-11,1151.9444898694844,7143.945272959306,1372.2712354342493,Agente,Santo Domingo,Vigente,12
POL-000185,AS-01550,Salud,2023-09-23,2024-09-17,3677.595419097768,52605.862179890704,700.0873262982841,Digital,Machala,Vencida,12
POL-000186,AS-03996,Vehículos,2025-03-25,2027-03-15,893.8401923208149,64931.6858513313,888.1147911894881,Corredor,Guayaquil,Vigente,24
POL-000187,AS-04913,Salud,2023-08-25,2024-08-19,1038.2797728926228,31985.6348381632,537.8209377743688,Agente,Guayaquil,Vencida,12
POL-000188,AS-03363,Vehículos,2022-05-01,2023-04-26,334.93589163606333,44481.12757666107,522.5546433732452,Digital,Guayaquil,Vencida,12
POL-000189,AS-03206,Vehículos,2022-12-31,2023-12-26,681.9403330650334,56244.35598577963,880.1960713473663,Corredor,Manta,Vencida,12
POL-000190,AS-01453,Generales,2022-06-28,2023-06-23,2766.931608020121,207039.3426365144,2652.3883449151285,Corredor,Quito,Vencida,12
