id_asegurado,segmento,ciudad,antiguedad_anios,n_polizas,reclamos_12m,total_siniestros_hist,mora_actual,score_cliente,perfil_riesgo
AS-00111,Empresa mediana,Cuenca,5.5,1,0,1,0,74.9061439235048,bajo
AS-00112,Empresa pequeña,Quito,19.3,1,0,2,0,90.16743062275391,bajo
AS-00113,Empresa grande,Santo Domingo,7.4,5,2,6,1,18.001151049705133,alto
AS-00114,Empresa pequeña,Latacunga,2.3,2,0,3,0,79.71621056242644,medio
AS-00115,Empresa mediana,Quito,16.5,3,0,0,0,73.2381951760944,bajo
AS-00116,Particular,Quito,17.8,1,0,2,0,100.0,bajo
AS-00117,Empresa mediana,Ibarra,3.2,2,0,1,0,88.32644115147379,bajo
AS-00118,Particular,Guayaquil,19.0,2,0,2,0,80.45660981190234,bajo
AS-00119,Particular,Quito,2.5,2,0,0,0,94.9141140725751,bajo
AS-00120,Particular,Babahoyo,15.8,1,0,0,0,79.95966516343387,bajo
AS-00121,Empresa mediana,Riobamba,15.8,3,0,0,0,78.25515973521523,bajo
AS-00122,Particular,Quito,17.3,2,0,2,1,42.3530627260263,medio
AS-00123,Particular,Quito,8.5,1,0,2,0,100.0,bajo
AS-00124,Empresa pequeña,Quito,12.3,3,1,0,0,78.59074468603859,bajo
AS-00125,Empresa pequeña,Babahoyo,17.0,2,0,0,0,100.0,bajo
AS-00126,Empresa mediana,Quito,2.6,3,0,1,0,90.75227812904988,bajo
AS-00127,Particular,Manta,2.1,3,0,1,0,91.34731837434656,bajo
AS-00128,Empresa pequeña,Guayaquil,4.6,2,1,1,0,89.06851135198615,bajo
AS-00129,Particular,Guayaquil,3.1,4,0,1,1,43.19825682543821,medio
AS-00130,Empresa pequeña,Quito,1.3,3,0,1,0,79.782621729419,bajo
AS-00131,Empresa mediana,Tulcán,1.1,2,0,0,0,79.54668284466933,bajo
AS-00132,Particular,Santo Domingo,7.1,3,0,1,0,87.54281487403014,bajo
AS-00133,Empresa mediana,Santo Domingo,12.3,6,2,6,1,26.988481431369472,alto
AS-00134,Particular,Riobamba,18.4,2,0,1,0,89.36796215317591,bajo
AS-00135,Particular,Portoviejo,1.9,2,0,2,0,40.00287882883099,medio
AS-00136,Empresa pequeña,Cuenca,1.8,1,0,1,1,49.149672025087696,medio
AS-00137,Particular,Cuenca,8.9,3,0,0,0,46.08373353831882,medio
AS-00138,Particular,Cuenca,13.4,1,0,2,1,39.98969241897162,medio
AS-00139,Particular,Quito,5.2,2,0,0,0,86.96758608684836,bajo
AS-00140,Particular,Cuenca,16.7,3,0,1,1,35.045678417830224,medio
AS-00141,Particular,Guayaquil,8.6,2,0,0,0,74.63729967302065,bajo
AS-00142,Empresa grande,Latacunga,9.3,3,0,0,0,100.0,bajo
AS-00143,Particular,Quito,17.4,3,0,2,0,66.96258382719387,bajo
AS-00144,Empresa pequeña,Quito,15.5,2,1,0,0,95.42316929266153,bajo
AS-00145,Particular,Quito,3.1,3,0,0,1,90.09941397124211,bajo
AS-00146,Empresa pequeña,Guayaquil,18.5,3,1,1,0,48.30911435888655,medio
AS-00147,Particular,Riobamba,11.9,3,1,1,0,46.91524644560959,medio
AS-00148,Particular,Ambato,19.5,1,0,2,0,77.29771693457863,bajo
AS-00149,Empresa grande,Quito,18.2,2,0,0,0,47.00970782808449,medio
AS-00150,Particular,Santo Domingo,19.6,1,1,3,0,48.68492336616593,medio
AS-00151,Empresa grande,Manta,7.3,2,0,0,0,91.65246425172938,bajo
AS-00152,Empresa pequeña,Quito,2.0,4,0,4,0,60.73224104748488,medio
AS-00153,Empresa mediana,Manta,2.9,2,0,0,0,86.49987639210755,bajo
AS-00154,Empresa pequeña,Guayaquil,7.6,4,4,10,1,33.461268485805014,alto
AS-00155,Particular,Cuenca,0.5,3,0,4,0,68.96536236649341,medio
AS-00156,Particular,Quito,6.0,2,3,10,1,25.22824290986816,alto
AS-00157,Particular,Riobamba,2.7,2,0,2,0,100.0,bajo
AS-00158,Empresa mediana,Guayaquil,8.3,3,0,2,1,90.66916460455893,bajo
AS-00159,Empresa pequeña,Quito,19.3,2,1,1,0,84.34348251398676,bajo
AS-00160,Empresa grande,Guayaquil,7.7,3,0,2,0,79.28276804316914,bajo
AS-00161,Particular,Ambato,17.5,3,1,0,0,80.6265916488634,bajo
AS-00162,Particular,Guayaquil,18.1,2,2,4,0,70.33542301871226,medio
AS-00163,Empresa mediana,Guayaquil,8.0,4,1,3,1,20.39297789503702,alto
AS-00164,Particular,Loja,6.8,1,0,2,0,90.79658840824145,bajo
AS-00165,Empresa mediana,Guayaquil,12.3,1,0,5,0,49.1168806462216,medio
AS-00166,Particular,Guayaquil,6.1,1,0,0,0,90.76390463468249,bajo
AS-00167,Particular,Manta,0.4,6,4,2,1,15.51030079997245,alto
AS-00168,Empresa pequeña,Guayaquil,13.3,1,0,1,0,100.0,bajo
AS-00169,Particular,Cuenca,7.9,5,1,2,0,13.373059419985648,alto
AS-00170,Particular,Quito,13.2,1,1,0,0,76.23131917821256,bajo
AS-00171,Particular,Ambato,16.6,3,0,1,0,84.55242785187238,bajo
AS-00172,Particular,Guayaquil,5.9,1,2,3,1,45.12094857517281,medio
AS-00173,Particular,Cuenca,5.1,3,2,6,1,1.5144914529294788,alto
AS-00174,Particular,Guayaquil,8.1,4,1,3,0,69.90575987408322,medio
AS-00175,Empresa pequeña,Riobamba,5.4,1,1,0,0,89.48345399665008,bajo
AS-00176,Particular,Quito,13.3,2,0,0,0,79.13591624518011,bajo
AS-00177,Particular,Machala,7.1,2,0,0,1,98.46500945938953,bajo
AS-00178,Empresa pequeña,Cuenca,15.0,1,1,0,0,95.46767038578659,bajo
AS-00179,Particular,Riobamba,7.4,2,1,0,0,73.27671583381021,bajo
AS-00180,Empresa mediana,Riobamba,11.5,3,0,0,0,92.0008458329481,bajo
AS-00181,Particular,Cuenca,18.3,1,0,2,0,86.52833673882503,bajo
AS-00182,Particular,Cuenca,2.5,2,2,4,1,13.114212217918585,alto
AS-00183,Empresa mediana,Babahoyo,13.4,2,2,4,0,6.345537509694438,alto
AS-00184,Empresa pequeña,Ambato,15.9,6,2,5,1,33.312362076215926,alto
AS-00185,Empresa pequeña,Cuenca,7.4,3,0,1,0,70.88268607337075,bajo
AS-00186,Empresa grande,Cuenca,15.4,1,0,4,0,45.77000247046046,medio
AS-00187,Empresa pequeña,Machala,15.6,3,0,2,0,76.26618812286773,bajo
AS-00188,Empresa mediana,Quito,3.1,1,0,1,1,76.43585543671563,bajo
AS-00189,Empresa mediana,Guayaquil,12.7,3,0,4,0,51.26603140965798,medio
AS-00190,Empresa pequeña,Manta,3.5,3,1,1,0,87.72576387657068,bajo
AS-00191,Particular,Quito,19.0,3,1,1,1,49.8674252396649,medio
AS-00192,Particular,Guayaquil,19.1,4,0,4,1,56.08199397161736,medio
AS-00193,Particular,Guayaquil,9.7,1,0,1,0,96.87046872065102,bajo
AS-00194,Empresa pequeña,Portoviejo,2.7,3,1,1,0,40.77130610644006,medio
AS-00195,Particular,Quito,5.9,2,0,0,0,99.76590462925591,bajo
AS-00196,Empresa mediana,Ibarra,3.9,3,2,7,1,21.426586898644185,alto
AS-00197,Particular,Guayaquil,9.2,1,0,0,0,67.08071281899433,bajo
AS-00198,Empresa pequeña,Ambato,5.8,1,1,3,0,66.36862552972764,medio
AS-00199,Empresa pequeña,Guayaquil,11.4,1,0,0,0,81.89104359222999,bajo
AS-00200,Empresa pequeña,Babahoyo,13.6,1,0,1,0,75.48514851084688,bajo
AS-00201,Empresa pequeña,Quito,12.1,2,0,1,0,75.88893680174141,bajo
AS-00202,Empresa mediana,Quito,17.9,1,0,2,0,77.70392263184118,bajo
AS-00203,Empresa pequeña,Guayaquil,16.6,3,1,0,0,89.61525621587639,bajo
AS-00204,Particular,Portoviejo,11.7,1,1,5,0,64.26901026017451,medio
AS-00205,Empresa pequeña,Manta,3.5,4,0,1,0,34.01165316021454,medio
AS-00206,Particular,Guayaquil,8.3,1,0,2,0,92.91087480042438,bajo
AS-00207,Empresa pequeña,Cuenca,11.3,4,0,5,0,47.5751763360433,medio
AS-00208,Particular,Riobamba,14.4,3,1,0,0,87.06892975456104,bajo
AS-00209,Particular,Latacunga,19.6,2,0,1,0,87.27523843153024,bajo
AS-00210,Particular,Riobamba,5.5,2,3,8,1,54.1636574532736,alto
AS-00211,Empresa mediana,Santo Domingo,5.9,4,6,6,0,38.85445255346583,alto
AS-00212,Empresa pequeña,Santo Domingo,5.5,3,0,1,0,94.177828200903,bajo
AS-00213,Particular,Esmeraldas,4.6,1,0,0,0,96.270008817466,bajo
AS-00214,Empresa pequeña,Portoviejo,19.6,1,0,1,1,99.656956256529,bajo
AS-00215,Empresa pequeña,Guayaquil,5.8,1,1,5,0,55.02365377679828,medio
AS-00216,Empresa pequeña,Quito,18.4,4,1,3,0,70.49484610246634,medio
AS-00217,Empresa pequeña,Ibarra,17.5,2,1,0,0,83.13587392731215,bajo
AS-00218,Empresa mediana,Guayaquil,12.9,3,0,0,1,94.31590696629996,bajo
AS-00219,Particular,Guayaquil,14.6,3,0,3,0,47.37318226085448,medio
AS-00220,Empresa pequeña,Quito,17.1,4,2,1,0,42.90937069693161,medio
AS-00221,Particular,Guayaquil,5.0,2,0,1,0,89.57329283336755,bajo
AS-00222,Particular,Quito,13.1,2,0,3,0,39.56367403704126,medio
AS-00223,Empresa pequeña,Machala,15.4,2,3,6,1,17.73130095187257,alto
AS-00224,Particular,Quito,15.0,3,0,2,0,89.33642064405174,bajo
AS-00225,Empresa mediana,Riobamba,13.6,1,1,4,0,48.14034067105283,medio
AS-00226,Particular,Esmeraldas,4.1,2,0,2,1,58.24475298483683,medio
AS-00227,Empresa pequeña,Esmeraldas,9.0,1,0,0,0,84.02140009547732,bajo
AS-00228,Empresa pequeña,Guayaquil,0.5,3,2,0,0,51.41127611035347,medio
AS-00229,Particular,Cuenca,1.3,1,3,2,0,44.72348145370016,medio
AS-00230,Empresa pequeña,Portoviejo,13.0,4,0,3,1,56.39798874467338,medio
AS-00231,Particular,Ambato,10.8,3,0,2,1,47.74816684141432,medio
AS-00232,Empresa pequeña,Quito,0.6,2,0,1,0,83.78229294790988,bajo
AS-00233,Empresa mediana,Guayaquil,5.6,3,0,1,0,90.02785919951907,bajo
AS-00234,Empresa pequeña,Quito,4.2,1,0,0,0,56.24199826197091,medio
AS-00235,Particular,Guayaquil,10.8,1,0,1,1,87.71972044662662,bajo
AS-00236,Empresa pequeña,Riobamba,16.4,1,0,0,0,92.96959511159005,bajo
AS-00237,Particular,Cuenca,11.9,3,0,2,0,72.67428706671197,bajo
AS-00238,Particular,Ambato,7.7,3,0,0,0,75.43227157384713,bajo
AS-00239,Particular,Quito,4.6,3,0,1,0,68.39106767615806,bajo
AS-00240,Empresa grande,Quito,4.9,1,0,0,0,87.76216667398111,bajo
AS-00241,Particular,Quito,5.4,1,1,4,0,58.1373963078365,medio
AS-00242,Particular,Esmeraldas,6.1,1,0,2,0,91.6263177926655,bajo
AS-00243,Empresa grande,Quito,12.1,1,0,1,0,82.12493639490228,bajo
AS-00244,Particular,Guayaquil,5.3,3,1,2,0,98.42877597085061,bajo
AS-00245,Particular,Tulcán,7.5,4,0,1,1,55.49851796472112,medio
AS-00246,Particular,Manta,8.4,3,2,7,0,20.527493820795257,alto
AS-00247,Particular,Loja,5.2,4,3,2,0,51.82527344419522,medio
AS-00248,Empresa pequeña,Quito,11.0,1,1,0,0,86.03335383713144,bajo
AS-00249,Particular,Quito,16.4,1,1,2,0,73.22727120140549,medio
AS-00250,Particular,Quito,9.2,1,0,0,0,90.52490855480478,bajo
AS-00251,Empresa pequeña,Cuenca,8.3,1,0,0,0,92.99558022832477,bajo
AS-00252,Particular,Guayaquil,18.8,2,0,1,0,48.889309735273876,medio
AS-00253,Empresa pequeña,Guayaquil,15.9,1,1,3,0,97.61078098506317,bajo
AS-00254,Particular,Santo Domingo,13.1,1,0,1,0,61.16232630275574,medio
AS-00255,Empresa pequeña,Quito,16.9,3,0,4,1,35.20315017022993,medio
AS-00256,Empresa mediana,Esmeraldas,13.9,3,0,0,0,69.77882963566874,bajo
AS-00257,Empresa mediana,Quito,18.6,2,0,2,0,80.63455574593311,bajo
AS-00258,Empresa mediana,Guayaquil,11.3,6,4,8,0,31.461652671906094,alto
AS-00259,Particular,Riobamba,13.8,1,0,3,1,43.819097140731145,medio
AS-00260,Particular,Manta,12.3,3,0,1,0,74.7731702671467,bajo
AS-00261,Empresa pequeña,Quito,11.1,2,0,0,0,85.16534764210958,bajo
AS-00262,Empresa pequeña,Quito,1.6,2,0,1,0,88.702373219691,bajo
AS-00263,Particular,Quito,18.9,2,0,0,0,57.79366329965464,bajo
AS-00264,Particular,Cuenca,2.2,1,0,0,0,82.77806179332856,bajo
AS-00265,Empresa mediana,Guayaquil,15.6,3,0,1,0,98.0371592430342,bajo
AS-00266,Particular,Quito,5.5,3,1,4,0,46.36108409017575,medio
AS-00267,Particular,Guayaquil,18.9,4,1,2,0,51.262056519658174,medio
AS-00268,Particular,Santo Domingo,7.7,2,0,2,0,87.54929311019684,bajo
AS-00269,Empresa grande,Guayaquil,19.0,1,0,0,0,79.69977756651508,bajo
AS-00270,Particular,Cuenca,11.6,2,0,2,0,63.453702886430456,medio
AS-00271,Particular,Manta,11.0,3,0,0,0,99.00636644533057,bajo
AS-00272,Particular,Santo Domingo,1.5,4,1,3,0,41.6206892441028,medio
AS-00273,Empresa pequeña,Riobamba,1.6,4,0,3,0,72.6158187607748,medio
AS-00274,Particular,Guayaquil,17.9,1,0,1,0,59.35116530509793,medio
AS-00275,Empresa pequeña,Babahoyo,13.6,2,1,0,0,88.99245674476025,bajo
AS-00276,Particular,Cuenca,10.4,3,0,1,0,83.51051737131635,bajo
AS-00277,Empresa pequeña,Cuenca,7.0,1,0,0,0,98.59529847786735,bajo
AS-00278,Particular,Quito,6.3,5,3,4,1,10.598915614206026,alto
AS-00279,Particular,Guayaquil,6.1,1,0,2,0,43.5490104249501,medio
AS-00280,Empresa mediana,Cuenca,11.1,3,1,3,1,44.7734320156912,medio
AS-00281,Empresa pequeña,Ambato,8.0,3,0,2,0,88.36758672625623,bajo
AS-00282,Particular,Guayaquil,14.1,1,0,0,0,89.41065337260522,bajo
AS-00283,Particular,Guayaquil,17.3,3,2,1,0,89.63008408072676,bajo
AS-00284,Empresa pequeña,Santo Domingo,12.4,3,1,0,0,82.21092250586577,bajo
AS-00285,Empresa pequeña,Quito,2.4,2,0,0,0,93.16516687328134,bajo
AS-00286,Empresa pequeña,Cuenca,10.8,3,0,1,0,65.23956100238749,bajo
AS-00287,Particular,Guayaquil,1.2,2,1,1,0,75.14107452482209,bajo
AS-00288,Empresa grande,Cuenca,13.7,2,1,1,0,77.94158603242288,bajo
AS-00289,Particular,Guayaquil,5.6,3,0,3,0,62.90495933867516,medio
AS-00290,Particular,Quito,15.5,2,0,0,0,89.68650240089703,bajo
AS-00291,Particular,Quito,16.6,3,2,7,1,16.459388748213623,alto
AS-00292,Empresa mediana,Machala,2.4,1,0,1,0,88.23499532670584,bajo
AS-00293,Empresa pequeña,Manta,15.7,1,1,2,0,83.05317621527894,bajo
AS-00294,Particular,Loja,5.9,2,2,0,0,100.0,bajo
AS-00295,Particular,Guayaquil,1.3,3,1,2,0,66.88507742982523,medio
AS-00296,Particular,Quito,16.9,2,0,1,0,74.63545202369673,bajo
AS-00297,Particular,Riobamba,15.4,2,0,0,0,100.0,bajo
AS-00298,Particular,Manta,17.4,3,0,1,1,90.53649760438304,bajo
AS-00299,Particular,Cuenca,4.4,2,0,0,0,83.7643105941948,bajo
AS-00300,Particular,Cuenca,9.8,2,0,2,0,74.54814420961807,bajo
AS-00301,Empresa pequeña,Quito,17.2,2,0,2,1,78.65502494538964,bajo
AS-00302,Empresa mediana,Guayaquil,17.5,3,0,1,0,39.59909479901515,medio
AS-00303,Particular,Ibarra,15.1,4,1,4,0,43.73646802561631,medio
AS-00304,Particular,Cuenca,9.0,1,0,1,0,100.0,bajo
AS-00305,Empresa pequeña,Quito,1.9,1,0,0,0,78.89549203017926,bajo
AS-00306,Empresa pequeña,Quito,19.9,2,0,1,0,58.28663691654391,medio
AS-00307,Particular,Manta,3.1,4,0,1,0,52.68832447894212,medio
AS-00308,Particular,Ibarra,7.1,2,0,0,0,75.34214305582084,bajo
AS-00309,Particular,Ibarra,5.8,1,1,5,0,51.43548690585019,medio
AS-00310,Empresa pequeña,Guayaquil,13.0,1,0,2,0,83.98903673783053,bajo
AS-00311,Particular,Quito,7.3,3,0,3,1,55.411593983863895,medio
AS-00312,Particular,Cuenca,19.7,1,0,0,0,83.39388425993596,bajo
AS-00313,Empresa mediana,Guayaquil,5.8,6,3,10,0,19.82708174494015,alto
AS-00314,Particular,Quito,1.7,1,2,1,0,83.86754818000318,bajo
AS-00315,Empresa pequeña,Loja,1.4,4,1,0,1,48.227394035771646,medio
AS-00316,Empresa mediana,Manta,1.2,3,1,2,0,73.70501920816379,bajo
AS-00317,Particular,Cuenca,7.0,3,2,0,0,78.40976485647482,bajo
AS-00318,Empresa pequeña,Ibarra,2.4,1,0,3,0,53.64866621703272,medio
AS-00319,Empresa pequeña,Quito,9.2,2,0,0,0,76.62083176244221,bajo
AS-00320,Particular,Manta,14.5,1,0,0,0,95.14928472816158,bajo
AS-00321,Particular,Guayaquil,3.1,1,0,1,0,92.68497982496359,bajo
AS-00322,Particular,Tulcán,6.5,1,0,0,0,93.17578512718457,bajo
AS-00323,Particular,Babahoyo,19.1,1,1,2,1,58.308896583832635,medio
AS-00324,Particular,Quito,4.1,3,1,0,0,87.7619363784273,bajo
AS-00325,Empresa pequeña,Riobamba,4.0,3,0,1,0,65.16991309250149,bajo
AS-00326,Particular,Ambato,13.9,1,1,2,0,83.62905693606135,bajo
AS-00327,Empresa pequeña,Cuenca,4.8,2,1,0,1,80.09055436750033,bajo
AS-00328,Particular,Esmeraldas,10.4,4,3,9,1,26.65831346981468,alto
AS-00329,Particular,Quito,11.4,4,1,2,0,51.62059908526078,medio
AS-00330,Empresa mediana,Santo Domingo,6.6,2,0,1,0,79.2417275463214,bajo
AS-00331,Particular,Guayaquil,6.3,1,0,0,1,76.13876613576544,bajo
AS-00332,Particular,Quito,16.2,3,1,3,0,36.713728142570844,medio
AS-00333,Particular,Portoviejo,8.0,1,0,1,0,69.07902279096864,medio
AS-00334,Empresa grande,Cuenca,11.0,1,0,1,1,40.71419144243944,medio
AS-00335,Particular,Quito,4.0,4,0,3,0,63.575598667088755,medio
